frame_idx,FirstFrame_sim,EndFrame_sim
5,0.2551,0.2159
6,0.2526,0.2087
7,0.2474,0.2087
8,0.2767,0.2231
9,0.2444,0.2072
10,0.2686,0.2306
11,0.2587,0.2145
12,0.3091,0.2642
13,0.2723,0.2379
0,0.0847,-0.1366
1,0.1200,-0.1355
2,0.0867,-0.1517
3,0.0954,-0.1470
4,0.0797,-0.1459
5,0.1131,-0.1360
6,0.0766,-0.1396
7,0.1013,-0.1415
8,0.0746,-0.1391
9,0.0828,-0.1445
10,0.0701,-0.1428
11,0.1134,-0.1327
12,0.0717,-0.1405
13,0.0995,-0.1363
0,0.1547,0.0833
1,0.1857,0.0929
2,0.1852,0.1014
3,0.1778,0.0837
4,0.1743,0.0934
5,0.1753,0.0781
6,0.1756,0.0968
7,0.1797,0.0846
8,0.1867,0.1054
0,0.9125,1.0687
9,0.1734,0.0822
1,0.9036,1.0677
10,0.1881,0.1064
2,0.7475,0.9078
11,0.1757,0.0793
3,0.8990,0.9908
12,0.1989,0.1220
4,0.7020,0.8369
13,0.1704,0.0931
5,0.9205,0.9885
6,0.6701,0.8300
7,0.8972,0.9753
8,0.6189,0.7807
9,0.7953,0.8967
10,0.5382,0.7431
11,0.8719,0.9271
12,0.5832,0.7820
13,1.0002,1.0612
0,0.0349,-0.0574
1,0.0688,-0.0475
2,0.0581,-0.0429
3,0.0541,-0.0506
4,0.0661,-0.0435
0,0.4009,0.5489
5,0.0702,-0.0453
1,0.5856,0.6813
6,0.0622,-0.0443
2,0.3900,0.5930
7,0.0648,-0.0502
3,0.5009,0.6462
8,0.0526,-0.0431
4,0.3521,0.5730
9,0.0555,-0.0623
5,0.5291,0.6515
10,0.0546,-0.0581
6,0.3750,0.5797
11,0.0604,-0.0634
12,0.0406,-0.0632
7,0.5108,0.6381
13,0.0617,-0.0497
8,0.4020,0.5958
9,0.4574,0.6065
10,0.3658,0.5753
11,0.5313,0.6318
12,0.2774,0.4881
13,0.4243,0.5203
0,-0.0510,0.1037
1,-0.0667,0.1129
2,0.0166,0.1013
0,0.1249,0.1019
3,-0.0589,0.1089
4,-0.0119,0.1038
1,0.1439,0.1067
5,-0.0544,0.1218
2,0.1797,0.1334
6,-0.0042,0.1015
3,0.1676,0.1267
7,-0.0498,0.1236
