frame_idx,FirstFrame_sim,EndFrame_sim
0,0.1183,0.2391
1,0.1678,0.3007
2,0.1629,0.2922
3,0.1631,0.2975
4,0.1553,0.2859
5,0.1469,0.2830
6,0.1492,0.2807
7,0.1527,0.2900
8,0.1403,0.2731
9,0.1414,0.2808
10,0.1546,0.2893
11,0.1423,0.2865
12,0.1364,0.2689
13,0.1390,0.2811
0,0.0944,0.2030
1,0.0944,0.2218
2,0.0657,0.1835
3,0.0731,0.1972
4,0.0670,0.1856
5,0.0913,0.2204
6,0.0638,0.1798
7,0.0977,0.2256
8,0.0686,0.1791
9,0.0756,0.2083
10,0.0694,0.1905
11,0.0849,0.2241
12,0.0750,0.1966
13,0.0880,0.2247
0,0.0759,0.1299
1,0.0773,0.1545
2,0.0866,0.1607
3,0.0897,0.1641
4,0.0854,0.1483
5,0.0898,0.1671
6,0.0807,0.1459
7,0.0926,0.1699
8,0.0983,0.1646
9,0.0848,0.1575
10,0.0875,0.1514
11,0.0892,0.1671
12,0.1090,0.1784
13,0.0913,0.1507
0,0.2613,0.3675
1,0.3175,0.4299
2,0.3012,0.4110
3,0.3059,0.4172
4,0.3012,0.4125
5,0.3120,0.4228
6,0.3073,0.4184
7,0.3128,0.4289
8,0.3079,0.4160
9,0.3045,0.4142
10,0.3024,0.4111
11,0.3081,0.4160
12,0.3046,0.4104
13,0.2848,0.3888
0,0.2747,0.3860
1,0.3019,0.4091
2,0.2977,0.4048
3,0.3053,0.4162
4,0.3040,0.4133
5,0.3106,0.4225
6,0.3101,0.4200
7,0.3172,0.4294
8,0.3128,0.4237
9,0.3151,0.4280
10,0.3123,0.4244
11,0.3147,0.4273
12,0.3045,0.4172
13,0.2710,0.3834
0,0.2756,0.3353
1,0.4330,0.4808
2,0.4409,0.4883
3,0.4466,0.4941
4,0.4494,0.4965
5,0.4529,0.5000
6,0.4541,0.5014
7,0.4497,0.4968
8,0.4563,0.5039
9,0.4508,0.4988
10,0.4496,0.4991
11,0.4503,0.5003
12,0.4418,0.4896
13,0.2871,0.3474
0,0.2252,0.2927
1,0.2066,0.2761
2,0.1919,0.2629
3,0.1808,0.2489
4,0.1796,0.2407
5,0.1802,0.2417
6,0.1830,0.2454
7,0.1760,0.2359
8,0.1780,0.2346
9,0.1803,0.2381
10,0.1776,0.2330
11,0.1777,0.2308
12,0.1904,0.2450
13,0.2199,0.2837
0,0.2325,0.3662
1,0.2903,0.5195
2,0.2879,0.5360
3,0.2976,0.5517
4,0.2924,0.5459
5,0.2979,0.5542
6,0.3046,0.5625
7,0.3078,0.5663
8,0.3131,0.5731
9,0.3178,0.5828
10,0.3182,0.5815
11,0.3150,0.5758
12,0.3176,0.5765
13,0.2995,0.4772
0,0.2572,0.4553
1,0.2864,0.4786
2,0.3557,0.5955
3,0.3217,0.5374
4,0.3636,0.6171
5,0.3096,0.5223
6,0.3645,0.6230
7,0.3122,0.5340
8,0.3807,0.6432
9,0.3316,0.5569
10,0.3535,0.6071
11,0.3080,0.5231
12,0.3598,0.6104
13,0.2977,0.5167
0,0.6407,0.9023
1,0.7807,1.1058
2,0.7288,1.0283
3,0.7306,1.0301
4,0.6910,0.9748
5,0.7510,1.0670
6,0.6755,0.9522
7,0.7505,1.0663
8,0.6755,0.9530
9,0.7145,1.0087
10,0.6722,0.9505
11,0.7571,1.0737
12,0.6768,0.9524
13,0.6758,0.9639
0,0.5096,0.9474
1,0.4016,0.7766
2,0.2355,0.5379
3,0.4237,0.8082
4,0.1323,0.3714
5,0.5013,0.9502
6,0.1375,0.4064
7,0.5009,0.9573
8,0.1708,0.4566
9,0.3375,0.7199
10,0.1233,0.4060
11,0.4789,0.9462
12,0.2614,0.6358
13,0.6590,1.2173
0,0.6732,1.0172
1,0.8317,1.2279
2,0.7058,1.0364
3,0.7608,1.1052
4,0.6575,0.9499
5,0.7687,1.1341
6,0.6605,0.9628
7,0.7561,1.1178
8,0.6597,0.9678
9,0.7135,1.0378
10,0.5989,0.8610
11,0.7556,1.0995
12,0.5735,0.8450
13,0.6046,0.8833
0,-0.0827,-0.0251
1,-0.0409,0.0172
2,-0.0190,0.0465
3,-0.0475,0.0082
4,-0.0698,-0.0213
5,-0.0320,0.0269
6,-0.0658,-0.0086
7,-0.0166,0.0485
8,-0.0698,-0.0163
9,-0.0954,-0.0541
10,-0.0715,-0.0222
11,-0.0451,0.0025
12,-0.0603,-0.0007
13,-0.1711,-0.1982
0,0.6335,0.9658
1,0.6268,0.9186
2,0.5087,0.8035
3,0.6051,0.9039
4,0.5233,0.8296
5,0.6829,1.0095
6,0.5145,0.8298
7,0.6742,0.9933
8,0.5317,0.8546
9,0.5948,0.8989
10,0.5114,0.8113
11,0.6913,1.0286
12,0.5838,0.9222
13,0.5945,0.8710
0,0.2883,0.5579
1,0.1407,0.4228
2,0.1796,0.4192
3,0.1660,0.4397
4,0.1838,0.4136
5,0.1737,0.4455
6,0.1672,0.3706
7,0.1690,0.4318
8,0.1843,0.3745
9,0.1870,0.4285
10,0.1744,0.3874
11,0.1530,0.3954
12,0.2155,0.4095
13,0.2275,0.4699
0,0.2176,0.5051
1,0.1211,0.3946
2,0.1675,0.4598
3,0.1415,0.4146
4,0.1442,0.4359
5,0.1409,0.4104
6,0.1664,0.4559
7,0.1483,0.4152
8,0.1863,0.4764
9,0.1532,0.4150
10,0.1716,0.4514
11,0.1595,0.4283
12,0.2252,0.5242
13,0.2249,0.4759
0,0.1179,0.2394
1,0.1675,0.3003
2,0.1631,0.2923
3,0.1630,0.2970
4,0.1565,0.2871
5,0.1468,0.2828
6,0.1496,0.2806
7,0.1528,0.2906
8,0.1405,0.2727
9,0.1406,0.2796
10,0.1542,0.2885
11,0.1412,0.2854
12,0.1363,0.2689
13,0.1392,0.2811
0,0.0949,0.2033
1,0.0956,0.2236
2,0.0670,0.1837
3,0.0741,0.1980
4,0.0686,0.1866
5,0.0925,0.2201
6,0.0661,0.1817
7,0.0992,0.2262
8,0.0706,0.1804
9,0.0770,0.2083
10,0.0716,0.1920
11,0.0860,0.2251
12,0.0770,0.1988
13,0.0892,0.2259
0,0.0748,0.1285
1,0.0764,0.1536
2,0.0868,0.1606
3,0.0889,0.1631
4,0.0846,0.1470
5,0.0892,0.1663
6,0.0802,0.1446
7,0.0911,0.1689
8,0.0978,0.1633
9,0.0844,0.1570
10,0.0873,0.1508
11,0.0887,0.1668
12,0.1096,0.1778
13,0.0908,0.1498
0,0.2609,0.3668
1,0.3166,0.4285
2,0.3014,0.4106
3,0.3049,0.4155
4,0.3008,0.4116
5,0.3117,0.4224
6,0.3073,0.4177
7,0.3103,0.4265
8,0.3075,0.4155
9,0.3036,0.4127
10,0.3016,0.4096
11,0.3079,0.4152
12,0.3040,0.4095
13,0.2841,0.3878
0,0.2735,0.3840
1,0.3014,0.4081
2,0.2972,0.4041
3,0.3047,0.4151
4,0.3037,0.4127
5,0.3100,0.4214
6,0.3095,0.4189
7,0.3168,0.4285
8,0.3123,0.4225
9,0.3150,0.4273
10,0.3116,0.4231
11,0.3140,0.4258
12,0.3040,0.4162
13,0.2701,0.3817
0,0.2766,0.3362
1,0.4342,0.4818
2,0.4422,0.4895
3,0.4477,0.4950
4,0.4506,0.4974
5,0.4541,0.5009
6,0.4554,0.5023
7,0.4512,0.4980
8,0.4578,0.5052
9,0.4523,0.5000
10,0.4514,0.5007
11,0.4519,0.5017
12,0.4433,0.4910
13,0.2878,0.3481
0,0.2253,0.2930
1,0.2061,0.2755
2,0.1914,0.2624
3,0.1804,0.2484
4,0.1792,0.2403
5,0.1798,0.2412
6,0.1825,0.2449
7,0.1755,0.2354
8,0.1775,0.2341
9,0.1798,0.2376
10,0.1771,0.2325
11,0.1772,0.2303
12,0.1898,0.2445
13,0.2204,0.2843
0,0.2320,0.3653
1,0.2896,0.5185
2,0.2872,0.5351
3,0.2969,0.5509
4,0.2917,0.5449
5,0.2973,0.5535
6,0.3039,0.5615
7,0.3072,0.5658
8,0.3124,0.5721
9,0.3171,0.5819
10,0.3176,0.5806
11,0.3146,0.5754
12,0.3170,0.5753
13,0.2993,0.4769
0,0.2608,0.4594
1,0.2911,0.4833
2,0.3600,0.5982
3,0.3265,0.5413
4,0.3687,0.6209
5,0.3139,0.5256
6,0.3697,0.6268
7,0.3168,0.5380
8,0.3861,0.6472
9,0.3375,0.5625
10,0.3601,0.6127
11,0.3121,0.5268
12,0.3649,0.6140
13,0.3037,0.5235
0,0.6410,0.9023
1,0.7786,1.1029
2,0.7265,1.0249
3,0.7282,1.0268
4,0.6887,0.9716
5,0.7480,1.0636
6,0.6734,0.9494
7,0.7479,1.0635
8,0.6737,0.9508
9,0.7124,1.0064
10,0.6701,0.9477
11,0.7547,1.0711
12,0.6752,0.9504
13,0.6754,0.9634
0,0.5140,0.9548
1,0.4069,0.7841
2,0.2537,0.5659
3,0.4285,0.8167
4,0.1686,0.4275
5,0.5053,0.9579
6,0.1841,0.4801
7,0.5037,0.9625
8,0.2202,0.5347
9,0.3472,0.7362
10,0.1633,0.4688
11,0.4840,0.9549
12,0.3084,0.7089
13,0.6635,1.2242
0,0.6762,1.0234
1,0.8365,1.2362
2,0.7174,1.0568
3,0.7688,1.1184
4,0.6723,0.9768
5,0.7744,1.1437
6,0.6766,0.9918
7,0.7598,1.1248
8,0.6734,0.9944
9,0.7235,1.0548
10,0.6120,0.8855
11,0.7593,1.1062
12,0.5901,0.8765
13,0.6064,0.8865
0,-0.0712,-0.0093
1,-0.0265,0.0375
2,0.0005,0.0734
3,-0.0311,0.0312
4,-0.0496,0.0067
5,-0.0165,0.0486
6,-0.0444,0.0209
7,-0.0018,0.0690
8,-0.0478,0.0141
9,-0.0753,-0.0259
10,-0.0484,0.0100
11,-0.0282,0.0254
12,-0.0472,0.0166
13,-0.1594,-0.1823
0,0.6489,0.9839
1,0.6425,0.9356
2,0.5332,0.8320
3,0.6192,0.9189
4,0.5458,0.8554
5,0.6935,1.0202
6,0.5379,0.8574
7,0.6870,1.0075
8,0.5552,0.8814
9,0.6115,0.9184
10,0.5354,0.8395
11,0.7023,1.0401
12,0.6076,0.9499
13,0.6032,0.8806
0,0.2964,0.5684
1,0.1469,0.4316
2,0.1848,0.4253
3,0.1702,0.4450
4,0.1857,0.4161
5,0.1786,0.4518
6,0.1729,0.3770
7,0.1750,0.4380
8,0.1888,0.3800
9,0.1929,0.4350
10,0.1815,0.3956
11,0.1590,0.4031
12,0.2209,0.4169
13,0.2305,0.4750
0,0.2218,0.5085
1,0.1262,0.3991
2,0.1734,0.4660
3,0.1453,0.4178
4,0.1479,0.4397
5,0.1441,0.4137
6,0.1711,0.4609
7,0.1511,0.4182
8,0.1912,0.4818
9,0.1568,0.4176
10,0.1772,0.4566
11,0.1639,0.4319
12,0.2342,0.5330
13,0.2286,0.4782
0,0.1175,0.2397
1,0.1673,0.3000
2,0.1633,0.2922
3,0.1626,0.2961
4,0.1582,0.2887
5,0.1467,0.2825
6,0.1503,0.2809
7,0.1528,0.2912
8,0.1411,0.2725
9,0.1401,0.2785
10,0.1537,0.2875
11,0.1403,0.2846
12,0.1365,0.2692
13,0.1395,0.2811
0,0.0956,0.2039
1,0.0969,0.2257
2,0.0687,0.1844
3,0.0755,0.1989
4,0.0705,0.1881
5,0.0941,0.2200
6,0.0689,0.1842
7,0.1007,0.2272
8,0.0731,0.1824
9,0.0786,0.2084
10,0.0743,0.1932
11,0.0874,0.2262
12,0.0791,0.2013
13,0.0909,0.2274
0,0.0739,0.1275
1,0.0755,0.1528
2,0.0871,0.1608
3,0.0879,0.1619
4,0.0840,0.1459
5,0.0885,0.1656
6,0.0797,0.1434
7,0.0895,0.1678
8,0.0974,0.1623
9,0.0840,0.1566
10,0.0871,0.1506
11,0.0883,0.1669
12,0.1107,0.1776
13,0.0903,0.1489
0,0.2608,0.3663
1,0.3143,0.4257
2,0.3016,0.4101
3,0.3045,0.4142
4,0.3004,0.4107
5,0.3106,0.4210
6,0.3080,0.4180
7,0.3087,0.4251
8,0.3070,0.4148
9,0.3029,0.4116
10,0.3009,0.4081
11,0.3077,0.4144
12,0.3036,0.4082
13,0.2835,0.3869
0,0.2723,0.3819
1,0.3010,0.4070
2,0.2968,0.4032
3,0.3042,0.4141
4,0.3036,0.4122
5,0.3097,0.4206
6,0.3100,0.4189
7,0.3165,0.4276
8,0.3120,0.4217
9,0.3149,0.4266
10,0.3113,0.4221
11,0.3133,0.4245
12,0.3036,0.4154
13,0.2693,0.3800
0,0.2778,0.3373
1,0.4355,0.4829
2,0.4436,0.4906
3,0.4488,0.4958
4,0.4518,0.4983
5,0.4555,0.5019
6,0.4568,0.5033
7,0.4528,0.4993
8,0.4596,0.5066
9,0.4539,0.5014
10,0.4534,0.5025
11,0.4536,0.5032
12,0.4451,0.4925
13,0.2883,0.3486
0,0.2254,0.2934
1,0.2055,0.2750
2,0.1909,0.2619
3,0.1799,0.2480
4,0.1787,0.2399
5,0.1793,0.2408
6,0.1821,0.2445
7,0.1751,0.2350
8,0.1771,0.2337
9,0.1792,0.2371
10,0.1765,0.2320
11,0.1767,0.2298
12,0.1893,0.2440
13,0.2211,0.2851
0,0.2314,0.3642
1,0.2890,0.5176
2,0.2865,0.5342
3,0.2961,0.5500
4,0.2909,0.5438
5,0.2965,0.5527
6,0.3032,0.5604
7,0.3067,0.5653
8,0.3117,0.5710
9,0.3164,0.5809
10,0.3169,0.5796
11,0.3142,0.5749
12,0.3163,0.5740
13,0.2991,0.4763
0,0.2643,0.4635
1,0.2959,0.4878
2,0.3643,0.6005
3,0.3314,0.5452
4,0.3737,0.6244
5,0.3183,0.5288
6,0.3748,0.6303
7,0.3214,0.5419
8,0.3915,0.6510
9,0.3436,0.5680
10,0.3669,0.6183
11,0.3164,0.5304
12,0.3701,0.6173
13,0.3095,0.5301
0,0.6411,0.9022
1,0.7761,1.0994
2,0.7237,1.0210
3,0.7252,1.0229
4,0.6860,0.9680
5,0.7444,1.0594
6,0.6709,0.9460
7,0.7448,1.0600
8,0.6716,0.9481
9,0.7099,1.0034
10,0.6677,0.9445
11,0.7518,1.0678
12,0.6733,0.9480
13,0.6750,0.9629
0,0.5208,0.9653
1,0.4146,0.7946
2,0.2779,0.6026
3,0.4363,0.8296
4,0.2139,0.4971
5,0.5112,0.9679
6,0.2396,0.5674
7,0.5084,0.9702
8,0.2780,0.6255
9,0.3604,0.7572
10,0.2109,0.5425
11,0.4907,0.9657
12,0.3609,0.7900
13,0.6687,1.2315
0,0.6795,1.0304
1,0.8416,1.2451
2,0.7302,1.0796
3,0.7780,1.1336
4,0.6885,1.0064
5,0.7809,1.1544
6,0.6939,1.0234
7,0.7643,1.1331
8,0.6883,1.0235
9,0.7348,1.0741
10,0.6266,0.9129
11,0.7638,1.1142
12,0.6079,0.9103
13,0.6083,0.8902
0,-0.0575,0.0097
1,-0.0098,0.0612
2,0.0228,0.1042
3,-0.0121,0.0582
4,-0.0263,0.0389
5,0.0017,0.0741
6,-0.0201,0.0548
7,0.0152,0.0926
8,-0.0223,0.0496
9,-0.0516,0.0073
