frame_idx,FirstFrame_sim,EndFrame_sim
10,0.2805,0.1289
11,0.4364,0.2622
12,0.3372,0.1771
13,0.3195,0.1630
0,0.3591,0.3595
1,0.2588,0.2664
2,0.1444,0.1734
3,0.2712,0.2805
4,0.1191,0.1552
5,0.2777,0.2801
6,0.1128,0.1481
7,0.2479,0.2551
8,0.1195,0.1559
9,0.2445,0.2527
10,0.0959,0.1266
11,0.2666,0.2678
12,0.1828,0.2116
13,0.1798,0.2105
0,0.2944,0.2475
1,0.2633,0.2073
2,0.2294,0.1872
3,0.2270,0.1729
4,0.1915,0.1505
5,0.2216,0.1721
6,0.1938,0.1512
7,0.2180,0.1664
8,0.2151,0.1727
9,0.1804,0.1346
10,0.1815,0.1400
11,0.1993,0.1494
12,0.2427,0.1990
13,0.1838,0.1413
0,0.3319,0.2508
1,0.3601,0.2780
2,0.3937,0.3088
3,0.3710,0.2865
4,0.4015,0.3151
5,0.3636,0.2783
6,0.4086,0.3211
7,0.3523,0.2647
8,0.4014,0.3145
9,0.3618,0.2728
10,0.3968,0.3087
11,0.3645,0.2802
12,0.4038,0.3190
13,0.3753,0.2862
0,0.4346,0.3377
1,0.4852,0.3814
2,0.4965,0.3761
3,0.5022,0.3815
4,0.4920,0.3683
5,0.5121,0.3923
6,0.4989,0.3699
7,0.5066,0.3906
8,0.5017,0.3680
9,0.5091,0.3820
10,0.5012,0.3737
11,0.5178,0.3917
12,0.5062,0.3797
13,0.5154,0.3917
0,0.2857,0.2391
1,0.3363,0.2950
2,0.3805,0.3335
3,0.3659,0.3228
4,0.4014,0.3468
5,0.3841,0.3398
6,0.4028,0.3462
7,0.3855,0.3415
8,0.4032,0.3465
9,0.3728,0.3236
10,0.3692,0.3151
11,0.3621,0.3156
12,0.3769,0.3162
13,0.3063,0.2629
0,0.3410,0.2085
1,0.3830,0.2340
2,0.3764,0.2304
3,0.3724,0.2219
4,0.3670,0.2182
5,0.3808,0.2251
6,0.3591,0.2113
7,0.3807,0.2242
8,0.3582,0.2103
9,0.3611,0.2073
10,0.3541,0.2017
11,0.3692,0.2150
12,0.3538,0.2051
13,0.3460,0.1907
0,0.3883,0.3098
1,0.4288,0.3449
2,0.4257,0.3409
3,0.4262,0.3369
4,0.4253,0.3370
5,0.4278,0.3356
6,0.4248,0.3370
7,0.4266,0.3336
8,0.4206,0.3341
9,0.4229,0.3325
10,0.4179,0.3324
11,0.4232,0.3348
12,0.4112,0.3305
13,0.3369,0.2654
0,0.3083,0.2842
1,0.4161,0.4448
2,0.4180,0.4488
3,0.4172,0.4486
4,0.4223,0.4549
5,0.4224,0.4555
6,0.4243,0.4577
7,0.4215,0.4528
8,0.4277,0.4586
9,0.4217,0.4519
10,0.4220,0.4523
11,0.4192,0.4494
12,0.4256,0.4554
13,0.3300,0.3022
0,0.3566,0.2636
1,0.1160,0.0435
2,0.1154,0.0384
3,0.0914,0.0199
4,0.0902,0.0209
5,0.0804,0.0132
6,0.0919,0.0209
7,0.0685,0.0000
8,0.0794,0.0093
9,0.0835,0.0137
10,0.0765,0.0065
11,0.0561,-0.0138
12,0.0899,0.0179
13,0.3747,0.3399
0,0.3182,0.2509
1,0.6218,0.4719
2,0.6467,0.4974
3,0.6577,0.5041
4,0.6511,0.5013
5,0.6706,0.5156
6,0.6673,0.5170
7,0.6798,0.5223
8,0.6862,0.5306
9,0.6988,0.5361
10,0.6812,0.5268
11,0.6882,0.5320
12,0.6984,0.5502
13,0.6775,0.5388
0,0.3898,0.2862
1,0.4202,0.3472
2,0.5296,0.4391
3,0.4468,0.3597
4,0.5663,0.4591
5,0.4224,0.3392
6,0.5746,0.4665
7,0.4395,0.3568
8,0.5838,0.4731
9,0.4652,0.3693
10,0.5584,0.4520
11,0.4474,0.3582
12,0.5629,0.4455
13,0.4559,0.3487
0,0.5404,0.1765
1,0.6105,0.1981
2,0.5738,0.1787
3,0.5872,0.1857
4,0.5509,0.1684
5,0.6074,0.1908
6,0.5426,0.1666
7,0.6029,0.1883
8,0.5398,0.1644
9,0.5819,0.1867
10,0.5406,0.1628
11,0.6057,0.1968
12,0.5322,0.1655
13,0.5866,0.1857
0,0.6894,0.5261
1,0.6788,0.5464
2,0.4445,0.3080
3,0.6177,0.4864
4,0.3699,0.2169
5,0.6221,0.4901
6,0.3289,0.1768
7,0.6126,0.4859
8,0.3269,0.1779
9,0.6212,0.4627
10,0.2657,0.1197
11,0.5988,0.4570
12,0.2910,0.1316
13,0.6508,0.4726
0,0.4340,0.5283
1,0.5418,0.6604
2,0.3997,0.5436
3,0.4856,0.6171
4,0.3843,0.5264
5,0.5175,0.6385
6,0.3987,0.5364
7,0.5186,0.6398
8,0.4184,0.5526
9,0.4695,0.5929
10,0.3970,0.5359
11,0.5295,0.6511
12,0.3932,0.5234
13,0.3830,0.4964
0,-0.0843,-0.1836
1,-0.0679,-0.1734
2,-0.0269,-0.0886
3,-0.0491,-0.1426
4,-0.0136,-0.0712
5,-0.0403,-0.1357
6,-0.0019,-0.0567
7,-0.0433,-0.1411
8,-0.0049,-0.0665
9,-0.0308,-0.1181
10,-0.0083,-0.0686
11,-0.0533,-0.1500
12,-0.0157,-0.0649
13,-0.0920,-0.1668
0,0.4551,0.2813
1,0.3950,0.2097
2,0.3536,0.1840
3,0.3843,0.2232
4,0.3462,0.1803
5,0.4492,0.2698
6,0.3547,0.1857
7,0.4389,0.2609
8,0.3653,0.2021
9,0.4032,0.2367
10,0.2977,0.1428
11,0.4469,0.2710
12,0.3572,0.1913
13,0.3320,0.1725
0,0.3742,0.3741
1,0.2730,0.2791
2,0.1551,0.1818
3,0.2850,0.2917
4,0.1315,0.1642
5,0.2896,0.2896
6,0.1266,0.1578
7,0.2600,0.2650
8,0.1310,0.1637
9,0.2570,0.2632
10,0.1097,0.1365
11,0.2778,0.2770
12,0.1963,0.2224
13,0.1898,0.2198
0,0.2932,0.2468
1,0.2658,0.2096
2,0.2323,0.1900
3,0.2288,0.1748
4,0.1929,0.1512
5,0.2231,0.1730
6,0.1960,0.1522
7,0.2215,0.1692
8,0.2208,0.1771
9,0.1854,0.1386
10,0.1847,0.1422
11,0.2023,0.1519
12,0.2493,0.2048
13,0.1860,0.1431
0,0.3312,0.2504
1,0.3590,0.2770
2,0.3926,0.3083
3,0.3708,0.2866
4,0.4027,0.3160
5,0.3631,0.2781
6,0.4095,0.3217
7,0.3517,0.2643
8,0.4009,0.3138
9,0.3610,0.2726
10,0.3962,0.3081
11,0.3651,0.2808
12,0.4019,0.3167
13,0.3752,0.2863
0,0.4357,0.3384
1,0.4850,0.3812
2,0.4973,0.3771
3,0.5015,0.3814
4,0.4872,0.3647
5,0.5117,0.3924
6,0.4985,0.3696
7,0.5038,0.3885
8,0.4998,0.3667
9,0.5067,0.3800
10,0.4997,0.3730
11,0.5173,0.3915
12,0.5009,0.3762
13,0.5138,0.3904
0,0.2849,0.2383
1,0.3375,0.2959
2,0.3810,0.3338
3,0.3666,0.3232
4,0.4015,0.3474
5,0.3836,0.3395
6,0.4036,0.3474
7,0.3848,0.3410
8,0.4031,0.3467
9,0.3719,0.3230
10,0.3679,0.3139
11,0.3613,0.3148
12,0.3771,0.3161
13,0.3031,0.2601
0,0.3395,0.2073
1,0.3814,0.2329
2,0.3748,0.2288
3,0.3712,0.2207
4,0.3662,0.2164
5,0.3827,0.2263
6,0.3631,0.2151
7,0.3798,0.2227
8,0.3572,0.2091
9,0.3627,0.2098
10,0.3526,0.2005
11,0.3678,0.2134
12,0.3457,0.1974
13,0.3374,0.1827
0,0.3858,0.3078
1,0.4275,0.3441
2,0.4244,0.3398
3,0.4251,0.3360
4,0.4237,0.3355
5,0.4263,0.3341
6,0.4227,0.3350
7,0.4252,0.3324
8,0.4185,0.3324
9,0.4199,0.3300
10,0.4166,0.3317
11,0.4218,0.3339
12,0.4103,0.3300
13,0.3334,0.2628
0,0.3082,0.2838
1,0.4160,0.4449
2,0.4177,0.4488
3,0.4168,0.4485
4,0.4216,0.4546
5,0.4218,0.4552
6,0.4237,0.4572
7,0.4209,0.4524
8,0.4273,0.4583
9,0.4211,0.4516
10,0.4214,0.4520
11,0.4184,0.4489
12,0.4253,0.4555
13,0.3289,0.3008
0,0.3556,0.2628
1,0.1155,0.0430
2,0.1149,0.0379
3,0.0910,0.0194
4,0.0899,0.0205
5,0.0800,0.0127
6,0.0914,0.0204
7,0.0681,-0.0005
8,0.0789,0.0088
9,0.0830,0.0131
10,0.0759,0.0059
11,0.0555,-0.0144
12,0.0893,0.0172
13,0.3741,0.3394
0,0.3184,0.2508
1,0.6217,0.4728
2,0.6471,0.4985
3,0.6582,0.5052
4,0.6514,0.5021
5,0.6709,0.5166
6,0.6677,0.5178
7,0.6804,0.5235
8,0.6867,0.5314
9,0.6991,0.5368
10,0.6816,0.5274
11,0.6886,0.5330
12,0.6995,0.5513
13,0.6774,0.5385
0,0.3944,0.2888
1,0.4268,0.3534
2,0.5329,0.4430
3,0.4516,0.3648
4,0.5710,0.4642
5,0.4259,0.3433
6,0.5787,0.4712
7,0.4451,0.3629
8,0.5890,0.4788
9,0.4713,0.3754
10,0.5653,0.4591
11,0.4542,0.3646
12,0.5692,0.4516
13,0.4674,0.3574
0,0.5391,0.1765
1,0.6062,0.1966
2,0.5688,0.1762
3,0.5819,0.1827
4,0.5461,0.1661
5,0.6022,0.1874
6,0.5384,0.1646
7,0.5985,0.1853
8,0.5362,0.1628
9,0.5779,0.1840
10,0.5367,0.1611
11,0.6009,0.1935
12,0.5287,0.1639
13,0.5838,0.1842
0,0.6986,0.5368
1,0.6823,0.5515
2,0.4516,0.3173
3,0.6188,0.4885
4,0.3944,0.2432
5,0.6230,0.4926
6,0.3594,0.2089
7,0.6167,0.4919
8,0.3631,0.2150
9,0.6231,0.4670
10,0.2947,0.1506
11,0.6017,0.4613
12,0.3336,0.1744
13,0.6532,0.4750
0,0.4380,0.5312
1,0.5458,0.6634
2,0.4085,0.5535
3,0.4919,0.6235
4,0.4003,0.5434
5,0.5239,0.6447
6,0.4160,0.5544
7,0.5232,0.6442
8,0.4374,0.5723
9,0.4786,0.6019
10,0.4144,0.5542
11,0.5343,0.6564
12,0.4157,0.5473
13,0.3883,0.5013
0,-0.0790,-0.1765
1,-0.0604,-0.1639
2,-0.0186,-0.0774
3,-0.0409,-0.1313
4,-0.0032,-0.0564
5,-0.0326,-0.1251
6,0.0093,-0.0410
7,-0.0356,-0.1307
8,0.0063,-0.0520
9,-0.0217,-0.1064
10,0.0033,-0.0538
11,-0.0461,-0.1398
12,-0.0067,-0.0541
13,-0.0872,-0.1615
0,0.4672,0.2910
1,0.4076,0.2205
2,0.3689,0.1971
3,0.3975,0.2340
4,0.3617,0.1929
5,0.4633,0.2810
6,0.3718,0.1997
7,0.4539,0.2731
8,0.3824,0.2156
9,0.4187,0.2493
10,0.3162,0.1576
11,0.4585,0.2807
12,0.3792,0.2071
13,0.3465,0.1835
0,0.3899,0.3894
1,0.2880,0.2924
2,0.1668,0.1910
3,0.2993,0.3034
4,0.1457,0.1747
5,0.3025,0.3000
6,0.1424,0.1692
7,0.2735,0.2762
8,0.1444,0.1730
9,0.2702,0.2745
10,0.1257,0.1484
11,0.2903,0.2873
12,0.2124,0.2356
13,0.2007,0.2296
0,0.2916,0.2459
1,0.2685,0.2123
2,0.2357,0.1933
3,0.2308,0.1770
4,0.1952,0.1529
5,0.2262,0.1753
6,0.2001,0.1550
7,0.2258,0.1729
8,0.2265,0.1814
9,0.1896,0.1419
10,0.1898,0.1460
11,0.2065,0.1555
12,0.2590,0.2137
13,0.1884,0.1449
0,0.3302,0.2497
1,0.3575,0.2757
2,0.3914,0.3075
3,0.3708,0.2870
4,0.4030,0.3162
5,0.3622,0.2775
6,0.4096,0.3216
7,0.3511,0.2638
8,0.4001,0.3127
9,0.3612,0.2730
10,0.3957,0.3075
11,0.3660,0.2815
12,0.3988,0.3134
13,0.3748,0.2862
0,0.4370,0.3395
